"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#PremierLeague West Ham Team News: Injuries, suspensions and line-up vs Everton: The Hammers face Ronald Koeman's… https://t.co/D93VbLrncN",FALSE,0,NA,2017-04-22 06:53:37,FALSE,NA,"855675946048733184",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PremierLeague8",0,FALSE,FALSE,NA,NA
"2","#PremierLeague Chelsea Team News: Injuries, suspensions &amp; line-up vs Tottenham: Everything you need to know ahead… https://t.co/Kj2xUGZFPd",FALSE,0,NA,2017-04-22 06:53:37,FALSE,NA,"855675944907849728",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PremierLeague8",0,FALSE,FALSE,NA,NA
"3","#PremierLeague No Plan B, no rotation: What Conte can learn from Mourinho &amp; Allegri to make predictable Chelsea… https://t.co/Lx0YWNSaqH",FALSE,0,NA,2017-04-22 06:53:37,FALSE,NA,"855675943628570624",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PremierLeague8",0,FALSE,FALSE,NA,NA
"4","#PremierLeague Arsenal 17th Premier League team to play three at the back: This week Arsenal became the 17th team… https://t.co/5IYYKJxJJ9",FALSE,0,NA,2017-04-22 06:53:37,FALSE,NA,"855675942504505345",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PremierLeague8",0,FALSE,FALSE,NA,NA
"5","@LFC Will #LFC win at #Anfield this weekend
#livcry 
#PremierLeague",FALSE,0,"LFC",2017-04-22 06:53:23,FALSE,"855673272817418240","855675887785607169","19583545","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheNormal_1",0,FALSE,FALSE,NA,NA
"6","Don't forget we are playing #TFG across the actual 10 fixtures designated for this weekend #premierleague https://t.co/vpLywRtY2K",FALSE,0,NA,2017-04-22 06:53:12,FALSE,NA,"855675838477553664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thatfootygame",0,FALSE,FALSE,NA,NA
"7","Paddypower New Custom #football
#PremierLeague #SFL
Sunday 12:00
#Celtic v #Rangers
Celtic enhanced to 7/1 Claim-&gt;… https://t.co/bFST0tCz81",FALSE,0,NA,2017-04-22 06:52:13,TRUE,NA,"855675592414568450",NA,"<a href=""http://recurpost.com"" rel=""nofollow"">Recur Post</a>","Kim_Feeney1",0,FALSE,FALSE,NA,NA
"8","Paddypower New Custom #football
#PremierLeague #SFL
Sunday 12:00
#Celtic v #Rangers
Celtic enhanced to 7/1 Claim-&gt;… https://t.co/v42EF8AcD2",FALSE,0,NA,2017-04-22 06:52:10,TRUE,NA,"855675578049015808",NA,"<a href=""http://recurpost.com"" rel=""nofollow"">Recur Post</a>","mufcfergie",0,FALSE,FALSE,NA,NA
"9","Paddypower New Custom #football
#PremierLeague #SFL
Sunday 12:00
#Celtic v #Rangers
Celtic enhanced to 7/1 Claim-&gt;… https://t.co/NBoiVRlbVk",FALSE,0,NA,2017-04-22 06:52:04,TRUE,NA,"855675552342081536",NA,"<a href=""http://recurpost.com"" rel=""nofollow"">Recur Post</a>","petebetnow",0,FALSE,FALSE,NA,NA
"10","#PremierLeague #FutVe El West Bromwich Albion suspende su visita a Venezuela https://t.co/g1jjhbQaeQ https://t.co/gG8QUiHkCZ",FALSE,0,NA,2017-04-22 06:52:00,FALSE,NA,"855675538337177600",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ZDeportivoVzla",0,FALSE,FALSE,NA,NA
"11","Paddypower New Custom #football
#PremierLeague #SFL
Sunday 12:00
#Celtic v #Rangers
Celtic enhanced to 7/1 Claim-&gt;… https://t.co/XqzbdPaOSU",FALSE,0,NA,2017-04-22 06:52:00,TRUE,NA,"855675537423048704",NA,"<a href=""http://recurpost.com"" rel=""nofollow"">Recur Post</a>","Paddyspower2",0,FALSE,FALSE,NA,NA
"12","Paddypower New Custom #football
#PremierLeague #SFL
Sunday 12:00
#Celtic v #Rangers
Celtic enhanced to 7/1 Claim-&gt;… https://t.co/9meuSvOFbS",FALSE,0,NA,2017-04-22 06:51:57,TRUE,NA,"855675523594407936",NA,"<a href=""http://recurpost.com"" rel=""nofollow"">Recur Post</a>","paddyspower1",1,FALSE,FALSE,NA,NA
